Name;Site ;Plot ;Date;Open_water;Bare_rock;Bare_soil;Species ;Genus;Abundance;distance_road;dist_t1;dist_t2;dist_t3;dist_t4;dist_t5;Altitude_point;Altitude_nearest_road;D altitude;Operation_start;Invasive;Com;Str;Rud;CSR;L;F;R;N;S;Classification;X_Coord;Y_Coord
Frøya;1;5;11.07.2024;0;0;0;Betula nana;Betula;5;7,5;180,15;321,89;687,28;699,78;783,86;45,42;45,74;-0,33;2020;NOL;2,44;85,63;11,92;S;7;8;1;1;0;V;484186,36;7063648,23
Frøya;1;5;11.07.2024;0;0;0;Calluna vulgaris ;Calluna;19;7,5;180,15;321,89;687,28;699,78;783,86;45,42;45,74;-0,33;2020;NOL ;0;91,99;8,01;S;7;6;2;2;0;V;484186,36;7063648,23
Frøya;1;5;11.07.2024;0;0;0;Carex lasiocarpa;Carex;6;7,5;180,15;321,89;687,28;699,78;783,86;45,42;45,74;-0,33;2020;NOL ;23,26;72,51;4,23;S/CS;8;10;6;3;0;V;484186,36;7063648,23
Frøya;1;5;11.07.2024;0;0;0;Carex panicea;Carex;11;7,5;180,15;321,89;687,28;699,78;783,86;45,42;45,74;-0,33;2020;NOL ;12,14;58,86;29;S/CSR;8;8;4;2;0;V;484186,36;7063648,23
Frøya;1;5;11.07.2024;0;0;0;Dactylorhiza maculata;Dactylorhiza;5;7,5;180,15;321,89;687,28;699,78;783,86;45,42;45,74;-0,33;2020;NOL;49,8;0;50,2;CR;7;7;3;2;0;V;484186,36;7063648,23
Frøya;1;5;11.07.2024;0;0;0;Drosera rotundifolia ;Drosera;1;7,5;180,15;321,89;687,28;699,78;783,86;45,42;45,74;-0,33;2020;NOL;3,66;0;96,34;R;8;9;2;1;0;V;484186,36;7063648,23
Frøya;1;5;11.07.2024;0;0;0;Empetrum nigrum;Empetrum;2;7,5;180,15;321,89;687,28;699,78;783,86;45,42;45,74;-0,33;2020;NOL;0;100;0;S;7;6;2;1;0;V;484186,36;7063648,23
Frøya;1;5;11.07.2024;0;0;0;Erica tetralix;Erica;7;7,5;180,15;321,89;687,28;699,78;783,86;45,42;45,74;-0,33;2020;NOL;0;100;0;S;8;8;2;1;0;V;484186,36;7063648,23
Frøya;1;5;11.07.2024;0;0;0;Eriophorum vaginatum;Eriophorum;17;7,5;180,15;321,89;687,28;699,78;783,86;45,42;45,74;-0,33;2020;NOL;16,19;76,13;7,68;S/CS;8;8;2;1;0;V;484186,36;7063648,23
Frøya;1;5;11.07.2024;0;0;0;Molinia caerulea;Molinia;5;7,5;180,15;321,89;687,28;699,78;783,86;45,42;45,74;-0,33;2020;NOL;15,69;65,27;19,04;S/SR;7;8;3;2;0;V;484186,36;7063648,23
Frøya;1;5;11.07.2024;0;0;0;Narthecium ossifragum;Narthecium;3;7,5;180,15;321,89;687,28;699,78;783,86;45,42;45,74;-0,33;2020;NOL;;;;;8;9;2;1;0;V;484186,36;7063648,23
Frøya;1;5;11.07.2024;0;0;0;Sphagnum sp. ;Sphagnum;20;7,5;180,15;321,89;687,28;699,78;783,86;45,42;45,74;-0,33;2020;NOL;;;;;;;;;;B;484186,36;7063648,23
Frøya;1;5;11.07.2024;0;0;0;Trichophorum cespitosum;Trichophorum;6;7,5;180,15;321,89;687,28;699,78;783,86;45,42;45,74;-0,33;2020;NOL;1,19;98,81;0;S;8;8;2;1;0;V;484186,36;7063648,23
Frøya;1;6;08.07.2024;0;0;60;Andromeda polifolia;Andromeda;1;3,42;235,12;308,96;636,68;946,51;955,74;38,77;38,72;0,04;2020;NOL;2,28;97,72;0;S;9;9;1;1;0;V;481635,79;7062360,43
Frøya;1;6;08.07.2024;0;0;60;Athyrium filix-femina;Athyrium;2;3,42;235,12;308,96;636,68;946,51;955,74;38,77;38,72;0,04;2020;NOL;69,03;0;30,97;C/CR;5;7;5;6;0;V;481635,79;7062360,43
Frøya;1;6;08.07.2024;0;0;60;Calluna vulgaris ;Calluna;10;3,42;235,12;308,96;636,68;946,51;955,74;38,77;38,72;0,04;2020;NOL ;0;91,99;8,01;S;7;6;2;2;0;V;481635,79;7062360,43
Frøya;1;6;08.07.2024;0;0;60;Ceratodon purpureus;Ceratodon;8;3,42;235,12;308,96;636,68;946,51;955,74;38,77;38,72;0,04;2020;NOL ;;;;;7;4;5;3;1;B;481635,79;7062360,43
Frøya;1;6;08.07.2024;0;0;60;Cladonia sp.;Cladonia;3;3,42;235,12;308,96;636,68;946,51;955,74;38,77;38,72;0,04;2020;NOL ;;;;;;;;;;L;481635,79;7062360,43
Frøya;1;6;08.07.2024;0;0;60;Eriophorum vaginatum;Eriophorum;7;3,42;235,12;308,96;636,68;946,51;955,74;38,77;38,72;0,04;2020;NOL;16,19;76,13;7,68;S/CS;8;8;2;1;0;V;481635,79;7062360,43
Frøya;1;6;08.07.2024;0;0;60;Polytrichum sp. ;Polytrichum;4;3,42;235,12;308,96;636,68;946,51;955,74;38,77;38,72;0,04;2020;NOL;;;;;;;;;;B;481635,79;7062360,43
Frøya;1;6;08.07.2024;0;0;60;Racomitrium lanuginosum;Racomitrium;3;3,42;235,12;308,96;636,68;946,51;955,74;38,77;38,72;0,04;2020;NOL;;;;;7;4;2;1;0;B;481635,79;7062360,43
Frøya;1;7;09.07.2024;0;0;0;Calluna vulgaris ;Calluna;18;9,79;215,04;570,2;596,31;649,67;817,19;42,44;43,04;-0,6;2020;NOL ;0;91,99;8,01;S;7;6;2;2;0;V;481885,53;7063057,77
Frøya;1;7;09.07.2024;0;0;0;Carex panicea;Carex;8;9,79;215,04;570,2;596,31;649,67;817,19;42,44;43,04;-0,6;2020;NOL ;12,14;58,86;29;S/CSR;8;8;4;2;0;V;481885,53;7063057,77
Frøya;1;7;09.07.2024;0;0;0;Cladonia sp.;Cladonia;5;9,79;215,04;570,2;596,31;649,67;817,19;42,44;43,04;-0,6;2020;NOL ;;;;;;;;;;L;481885,53;7063057,77
Frøya;1;7;09.07.2024;0;0;0;Empetrum nigrum;Empetrum;12;9,79;215,04;570,2;596,31;649,67;817,19;42,44;43,04;-0,6;2020;NOL;0;100;0;S;7;6;2;1;0;V;481885,53;7063057,77
Frøya;1;7;09.07.2024;0;0;0;Hylocomium splendens;Hylocomium;4;9,79;215,04;570,2;596,31;649,67;817,19;42,44;43,04;-0,6;2020;NOL;;;;;6;5;4;2;0;B;481885,53;7063057,77
Frøya;1;7;09.07.2024;0;0;0;Parmelia omphalodes;Parmelia;1;9,79;215,04;570,2;596,31;649,67;817,19;42,44;43,04;-0,6;2020;NOL;;;;;;;;;;L;481885,53;7063057,77
Frøya;1;7;09.07.2024;0;0;0;Potentilla erecta ;Potentilla;1;9,79;215,04;570,2;596,31;649,67;817,19;42,44;43,04;-0,6;2020;NOL;16,48;50,52;33;SR/CSR;7;7;3;2;0;V;481885,53;7063057,77
Frøya;1;7;09.07.2024;0;0;0;Racomitrium lanuginosum;Racomitrium;20;9,79;215,04;570,2;596,31;649,67;817,19;42,44;43,04;-0,6;2020;NOL;;;;;7;4;2;1;0;B;481885,53;7063057,77
Frøya;1;8;09.07.2024;0;5;35;Calluna vulgaris ;Calluna;11;5,13;177,12;542,69;679,72;731,18;833,06;49,95;50,09;-0,15;2020;NOL ;0;91,99;8,01;S;7;6;2;2;0;V;481828,93;7063138,63
Frøya;1;8;09.07.2024;0;5;35;Carex panicea;Carex;13;5,13;177,12;542,69;679,72;731,18;833,06;49,95;50,09;-0,15;2020;NOL ;12,14;58,86;29;S/CSR;8;8;4;2;0;V;481828,93;7063138,63
Frøya;1;8;09.07.2024;0;5;35;Carex pilulifera;Carex;4;5,13;177,12;542,69;679,72;731,18;833,06;49,95;50,09;-0,15;2020;NOL ;13,81;48,54;37,65;SR/CSR;7;5;3;2;0;V;481828,93;7063138,63
Frøya;1;8;09.07.2024;0;5;35;Cerastium fontanum ;Cerastium;5;5,13;177,12;542,69;679,72;731,18;833,06;49,95;50,09;-0,15;2020;NOL ;10,47;12,32;77,21;R/SR;7;5;5;4;0;V;481828,93;7063138,63
Frøya;1;8;09.07.2024;0;5;35;Ceratodon purpureus;Ceratodon;3;5,13;177,12;542,69;679,72;731,18;833,06;49,95;50,09;-0,15;2020;NOL ;;;;;7;4;5;3;1;B;481828,93;7063138,63
Frøya;1;8;09.07.2024;0;5;35;Dactylorhiza maculata;Dactylorhiza;1;5,13;177,12;542,69;679,72;731,18;833,06;49,95;50,09;-0,15;2020;NOL;49,8;0;50,2;CR;7;7;3;2;0;V;481828,93;7063138,63
Frøya;1;8;09.07.2024;0;5;35;Euphrasia sp. ;Euphrasia;1;5,13;177,12;542,69;679,72;731,18;833,06;49,95;50,09;-0,15;2020;NOL;;;;;;;;;;V;481828,93;7063138,63
Frøya;1;8;09.07.2024;0;5;35;Lotus corniculatus ;Lotus;4;5,13;177,12;542,69;679,72;731,18;833,06;49,95;50,09;-0,15;2020;NOL;14,21;18,98;66,81;R/SR;7;4;6;2;1;V;481828,93;7063138,63
Frøya;1;8;09.07.2024;0;5;35;Mnium sp. ;Mnium;2;5,13;177,12;542,69;679,72;731,18;833,06;49,95;50,09;-0,15;2020;NOL;;;;;;;;;;B;481828,93;7063138,63
Frøya;1;8;09.07.2024;0;5;35;Polytrichum sp. ;Polytrichum;9;5,13;177,12;542,69;679,72;731,18;833,06;49,95;50,09;-0,15;2020;NOL;;;;;;;;;;B;481828,93;7063138,63
Frøya;1;8;09.07.2024;0;5;35;Potentilla erecta ;Potentilla;1;5,13;177,12;542,69;679,72;731,18;833,06;49,95;50,09;-0,15;2020;NOL;16,48;50,52;33;SR/CSR;7;7;3;2;0;V;481828,93;7063138,63
Frøya;1;8;09.07.2024;0;5;35;Racomitrium lanuginosum;Racomitrium;7;5,13;177,12;542,69;679,72;731,18;833,06;49,95;50,09;-0,15;2020;NOL;;;;;7;4;2;1;0;B;481828,93;7063138,63
Frøya;1;8;09.07.2024;0;5;35;Viola riviniana;Viola;3;5,13;177,12;542,69;679,72;731,18;833,06;49,95;50,09;-0,15;2020;NOL;27,09;22,88;50,03;R/CSR;6;5;5;4;0;V;481828,93;7063138,63
Frøya;1;9;11.07.2024;0;15;70;Agrostis capillaris ;Agrostis;1;6,61;252,84;374,08;429,06;563,15;733,23;50,7;51,7;-1;2020;NOL;5,9;52,83;41,27;SR;6;5;4;4;0;V;483451,07;7063702,39
Frøya;1;9;11.07.2024;0;15;70;Calluna vulgaris ;Calluna;7;6,61;252,84;374,08;429,06;563,15;733,23;50,7;51,7;-1;2020;NOL ;0;91,99;8,01;S;7;6;2;2;0;V;483451,07;7063702,39
Frøya;1;9;11.07.2024;0;15;70;Carex flava;Carex;2;6,61;252,84;374,08;429,06;563,15;733,23;50,7;51,7;-1;2020;NOL ;12,47;78,34;9,19;S/CS;7;9;8;2;0;V;483451,07;7063702,39
Frøya;1;9;11.07.2024;0;15;70;Carex pulicaris ;Carex;1;6,61;252,84;374,08;429,06;563,15;733,23;50,7;51,7;-1;2020;NOL ;3,05;96,95;0;S;8;7;5;2;0;V;483451,07;7063702,39
Frøya;1;9;11.07.2024;0;15;70;Cerastium fontanum ;Cerastium;10;6,61;252,84;374,08;429,06;563,15;733,23;50,7;51,7;-1;2020;NOL ;10,47;12,32;77,21;R/SR;7;5;5;4;0;V;483451,07;7063702,39
Frøya;1;9;11.07.2024;0;15;70;Dactylorhiza maculata;Dactylorhiza;1;6,61;252,84;374,08;429,06;563,15;733,23;50,7;51,7;-1;2020;NOL;49,8;0;50,2;CR;7;7;3;2;0;V;483451,07;7063702,39
Frøya;1;9;11.07.2024;0;15;70;Molinia caerulea;Molinia;1;6,61;252,84;374,08;429,06;563,15;733,23;50,7;51,7;-1;2020;NOL;15,69;65,27;19,04;S/SR;7;8;3;2;0;V;483451,07;7063702,39
Frøya;1;9;11.07.2024;0;15;70;Potentilla erecta ;Potentilla;3;6,61;252,84;374,08;429,06;563,15;733,23;50,7;51,7;-1;2020;NOL;16,48;50,52;33;SR/CSR;7;7;3;2;0;V;483451,07;7063702,39
Frøya;1;9;11.07.2024;0;15;70;Rumex acetosa;Rumex;5;6,61;252,84;374,08;429,06;563,15;733,23;50,7;51,7;-1;2020;NOL;54,35;0;45,65;CR;7;5;5;4;0;V;483451,07;7063702,39
Frøya;1;9;11.07.2024;0;15;70;Vaccinium uliginosum ;Vaccinium;1;6,61;252,84;374,08;429,06;563,15;733,23;50,7;51,7;-1;2020;NOL;10,72;63,58;25,7;S/SR;7;6;2;2;0;V;483451,07;7063702,39
Frøya;1;9;11.07.2024;0;15;70;Veronica officinalis;Veronica;2;6,61;252,84;374,08;429,06;563,15;733,23;50,7;51,7;-1;2020;NOL;3,48;69,48;27,04;S/SR;6;5;4;4;0;V;483451,07;7063702,39
Frøya;1;9;11.07.2024;0;15;70;Viola riviniana;Viola;4;6,61;252,84;374,08;429,06;563,15;733,23;50,7;51,7;-1;2020;NOL;27,09;22,88;50,03;R/CSR;6;5;5;4;0;V;483451,07;7063702,39
Frøya;1;10;11.07.2024;0;15;75;Calluna vulgaris ;Calluna;3;8,48;182,45;429,56;593,54;664,3;673,09;55,74;54,57;1,17;2020;NOL ;0;91,99;8,01;S;7;6;2;2;0;V;483849,44;7063531,19
Frøya;1;10;11.07.2024;0;15;75;Cladonia sp.;Cladonia;5;8,48;182,45;429,56;593,54;664,3;673,09;55,74;54,57;1,17;2020;NOL ;;;;;;;;;;L;483849,44;7063531,19
Frøya;1;10;11.07.2024;0;15;75;Empetrum nigrum;Empetrum;4;8,48;182,45;429,56;593,54;664,3;673,09;55,74;54,57;1,17;2020;NOL;0;100;0;S;7;6;2;1;0;V;483849,44;7063531,19
Frøya;1;10;11.07.2024;0;15;75;Eriophorum vaginatum;Eriophorum;1;8,48;182,45;429,56;593,54;664,3;673,09;55,74;54,57;1,17;2020;NOL;16,19;76,13;7,68;S/CS;8;8;2;1;0;V;483849,44;7063531,19
Frøya;1;10;11.07.2024;0;15;75;Polytrichum sp. ;Polytrichum;4;8,48;182,45;429,56;593,54;664,3;673,09;55,74;54,57;1,17;2020;NOL;;;;;;;;;;B;483849,44;7063531,19
Frøya;1;10;11.07.2024;0;15;75;Racomitrium lanuginosum;Racomitrium;7;8,48;182,45;429,56;593,54;664,3;673,09;55,74;54,57;1,17;2020;NOL;;;;;7;4;2;1;0;B;483849,44;7063531,19
Frøya;1;10;11.07.2024;0;15;75;Rubus saxatilis ;Rubus;10;8,48;182,45;429,56;593,54;664,3;673,09;55,74;54,57;1,17;2020;NOL;35,84;39,36;24,8;CS/CSR;7;5;7;4;0;V;483849,44;7063531,19
Frøya;1;10;11.07.2024;0;15;75;Vaccinium uliginosum ;Vaccinium;5;8,48;182,45;429,56;593,54;664,3;673,09;55,74;54,57;1,17;2020;NOL;10,72;63,58;25,7;S/SR;7;6;2;2;0;V;483849,44;7063531,19
Frøya;1;11;10.07.2024;0;0;5;Calluna vulgaris ;Calluna;11;7,73;83,91;305,29;608,95;633,27;744,29;56,48;57,24;-0,76;2020;NOL ;0;91,99;8,01;S;7;6;2;2;0;V;483559,55;7064067,76
Frøya;1;11;10.07.2024;0;0;5;Carex panicea;Carex;9;7,73;83,91;305,29;608,95;633,27;744,29;56,48;57,24;-0,76;2020;NOL ;12,14;58,86;29;S/CSR;8;8;4;2;0;V;483559,55;7064067,76
Frøya;1;11;10.07.2024;0;0;5;Erica tetralix;Erica;12;7,73;83,91;305,29;608,95;633,27;744,29;56,48;57,24;-0,76;2020;NOL;0;100;0;S;8;8;2;1;0;V;483559,55;7064067,76
Frøya;1;11;10.07.2024;0;0;5;Eriophorum angustifolium;Eriophorum;10;7,73;83,91;305,29;608,95;633,27;744,29;56,48;57,24;-0,76;2020;NOL;30,35;63,4;6,25;S/CS;8;9;4;1;0;V;483559,55;7064067,76
Frøya;1;11;10.07.2024;0;0;5;Funaria hygrometrica;Funaria;8;7,73;83,91;305,29;608,95;633,27;744,29;56,48;57,24;-0,76;2020;NOL;;;;;7;5;6;7;0;B;483559,55;7064067,76
